Latitude,Longitude,Depth
36.7715,-121.47266,5.476
36.96717,-121.46384,5.485
36.99917,-121.66084,5.487
37.25633,-121.64083,5.517
36.59317,-121.193,5.6
36.6585,-121.27917,5.609
36.82417,-121.54,5.633
36.75667,-121.45383,5.64
36.5495,-121.142,5.64
36.9405,-121.44,5.648
36.97467,-121.605,5.649
37.16217,-121.54984,5.656
36.76717,-121.4615,5.666
36.71367,-121.42717,5.684
37.4085,-121.759,5.719
36.82183,-121.53683,5.723
36.6215,-121.225,5.744
35.99333,-120.561,5.804
37.36017,-121.72933,5.813
36.87917,-121.41467,5.831
37.26067,-121.64133,5.833
35.81683,-121.30016,5.842
36.87366,-121.60083,5.911
37.16067,-121.552,5.927
36.5435,-121.17216,5.945
35.5975,-120.31216,6.046
36.98383,-121.62566,6.056
37.415,-122.23016,6.093
37.16183,-121.559,6.137
37.29133,-121.66817,6.168
36.68333,-121.31267,6.195
37.45383,-121.786,6.204
37.37067,-121.7355,6.209
36.99983,-121.66534,6.223
36.02133,-120.58217,6.273
36.848,-121.56667,6.276
37.11583,-121.50517,6.299
36.85933,-121.29933,6.324
36.98783,-121.64034,6.395
37.16417,-121.56017,6.397
37.2865,-121.66016,6.402
37.388,-121.73617,6.443
36.95567,-121.43916,6.458
36.95633,-121.44566,6.488
37.00067,-121.656,6.558
36.973,-121.42767,6.56
36.81417,-121.54117,6.57
36.64533,-121.24966,6.578
36.84883,-121.5755,6.593
37,-121.6535,6.597
37.366,-121.73517,6.617
37.00233,-121.66,6.618
36.99883,-121.65633,6.633
36.8105,-121.52866,6.64
35.97117,-120.53117,6.643
37.2365,-121.77467,6.668
37.33233,-121.702,6.677
37.17833,-121.578,6.716
36.58417,-121.17133,6.744
36.95984,-121.63533,6.775
36.855,-121.57933,6.873
36.59933,-121.19833,6.89
36.89817,-121.41866,7
36.998,-121.665,7.013
36.99967,-121.6555,7.028
37.4455,-121.79166,7.034
36.90917,-121.58733,7.051
37.34566,-121.7075,7.067
37.40133,-121.751,7.141
36.99983,-121.665,7.143
37.31617,-121.685,7.177
37.34517,-121.7125,7.227
36.86767,-121.60117,7.249
36.46233,-121.0385,7.271
36.9975,-121.66634,7.323
36.68433,-121.28217,7.362
36.22433,-120.80483,7.378
37.36033,-121.724,7.408
37.00467,-121.70483,7.447
36.86,-121.59683,7.451
36.16283,-120.7395,7.467
37.59967,-121.64467,7.486
36.92733,-121.609,7.54
37.3105,-121.67817,7.552
36.62867,-121.24983,7.648
37.35767,-121.631,7.688
37.33933,-121.69683,7.698
36.86517,-121.30733,7.735
37.4095,-121.758,7.757
36.76617,-121.37317,7.814
37.2685,-121.9525,7.866
37.48833,-121.86733,7.952
37.42417,-121.8065,8.176
36.84233,-121.58633,8.214
37.15267,-121.54483,8.256
35.90833,-120.386,8.29
37.08583,-121.50367,8.293
36.87833,-121.33067,8.351
36.96617,-121.4525,8.448
37.01133,-121.70133,8.477
